adi,6,2,3,11,4,0,11
Timmy,0,0,0,0,0,0,0
vvv,2,0,1,1,3,0,10
a,0,0,0,0,0,0,0
b,1,1,1,1,0,0,2
mad as a hatter,4,4,2,2,1,0,5
dog,0,0,1,0,1,0,7
vicky,1,2,3,2,1,0,9
Masha,0,2,3,0,3,0,9
AAAADDDDDiii,0,0,0,0,0,0,0
Mark,0,1,0,0,1,0,3
BOrNa,3,9,9,4,2,0,19
Claire,0,0,0,0,0,0,0
